Machine Tool,"Time to Engage 
Tool; etc.a (s)",Basic Setup Time (h),Additional Setup per Tool (h)
Horizontal band saw,—,0.17,—
Manual turret lathe,9,1.2,0.2
CNC turret lathe,1.5,0.5,0.15
Milling machine,30,1.5,—
Drilling machine,9,1.0,—
Horizontal to boring machine,30,1.3,—
Broaching machine,13,0.6,—
Gear hobbing machine,39,0.9,—
Grinding machine,19,0.6,—
Internal grinding machine,24,0.6,—
Machining center,8,0.7,0.05
