Systems of Basic Unlts,,,
Designation,English (FPS),"System
Metric (MI(S)",International (SD
"Length
Mass
Tme
Electric Cunnt
Temperatuæ
Luminous intensity",foot (t) pound (Ibrr) second (sec) ampere (A) degree Fahrenheit (O F) candela (cd),meter (m) kilogram 00) second (s) ampere (A) degree Celsius (oc) candela (cd),meter (m) kilogram (kg) second (s) ampere (A) degree Kelvin (0 19 candela (cd)
,,,
Decimal Multiples and Fractions of Sl Units,Decimal Multiples and Fractions of Sl Units,,
