Electric Resistance Welded end Electric Flash Welded,,,,
API 5L	A25,"25,000 (172)",,1.00,"18,000 a 24)"
"API 51.4, ASTM A53. ASTM A135	A","30,000 (207)",(2),0.85,"18,360 (127)"
"API 51, API 5LS, ASTM A53, ASTM A135	A","30,000 (207)",,1.00,"21,600 (149)"
"API 5L, ASTM A53, ASTM A135	B","35,000 (241)",(2),0.85,"21,420 (148)"
"API 5L, Am 5LS, ASTM A53, ASTM A135	B","35,000 (241)",(1),1.00,"25,200 (174)"
