Joint Effciencies (ASME Code),217
Properties of Heads,218
Volumes and Surface Areas of Vessel Sections,220
Maximum Length of Unstiffened Shells,221
Useful Formulas for Vessels,222
Material Selection Guide,Material Selection Guide
References 225,References 225
