Load Type,,Required Life,
Load Type,"Shod
200 hrs","Normal
1,000 hrs","Exb•a
10 000 hrs"
"SmooWSmooth
SmooWRough Rough/Rough","0.50
0.63
0.75","1.00
1.25
1.50","1.25
1.56
1.88"
