"ASTM A 155
ASTM A 155
Submerqed Arc Welded",,,,"0.90
1.00",
"API 5L, API ST Q",A,"30,000 (207)",(1),1.00,"21,600 (149)"
API 	API 5LS,B,"35,000 (241)",(1),,"25,200 (174)"
