2. SHELL COVER,e. CHANNEL PARTITION,SUPPORT PLATES
3. SHELL CHANNEL,STATIONARY TUBESHEET,10. IMPINGEMENT BAFFLE
4. SHELL COVER END FVANGE,11. CHANNEL,17. VENT CONNECTION
5. SHELL NOZZLE,12. CHANNEL COVEN,18. DRAIN CONNECTION
6. FLOATING TUBESHEET,'a. CHANNEL NOZZLE,w. TEST CONNECTION
