Diametral Pitch,Backlash (B),Diame&al Pitch,Backlash (B)
"1%
2
2%
3
4",".025 to .040
.01 B to .027
.014—.020
„011 to .016
.007 to .011","5
6
7
10—13",".006 to .009
.005 to .008
.004 to .007
.004 to .006
.003 to .005
.002 to .004"
