Specific heat,BtUhrnb/OF,Cp
Thermal conductivity,"Btu. Wft2n to ,rPF",
Heat energy,Btu,
Convection coefficient,Btu/sq. nmr/0F,h
Hydraulic diameter,feet,Dh
Gravitational constant,Ibm.ft/lbf.sec2,
