Motors: Efficiency,,126	Steam Turbines: Steam Rate,129
Motors: Starter Sizes,,127	Steam nn•bines: Efficiency,129
Motors: Service Factor,,127	Gas Turbines: Fuel Rates,130
Motors: Useful Equations,,128	Gas Engines: Fuel Rates,132
Motors: Relative Costs,,128	Gas Expanders: Available Energy,132
Motors: Overloading,,129,
