,,,,Psia,,,,
"r,",10,14.7,,40,eo,80,100,ISO
,.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.5,.980,.985,",990",$95,"1,00",1.00,1.00,1.00
2.0,.960,,.970,.980,.990,1.00,1.00,1.00
1.5,,",900",.020,,,.980,.990,1.00
