Alloy 713,,Bal,12.5,6.1,,,,
IN to IOO,15,Bal,10,5.5,4.7,3,,
IN to 7U,8.5,Bal,18,3.4,3.4,1.7,2.6,0.9
Mar M 247,10,Bal,8.3,,1,0.7,10,
