,,Losses in Pipe Fittings and Valves,10
Fluid Properties,,Pipes in Series,10
"Density, Specific Volume, Specific Weight,",,Pipes in Parallel,10
"Specific Gravity, and Pressure",2,Open to Channel Flow,11
