102,hecto,h,10 to 2,centi,c
103,kilo,k,10—3,milli,m
106,mega,,10 to 6,micro,
109,giga,,10 to 9,nano,n
1012,tera,,10 to 12,pico,P
1015,peta,p,10 to 15,femto,
