"NOMINAL
PIPE
SIZE
INCHES","OUTSIDE
DIAMETER INCHES",I P S,SCHEDULE,"INSIDE
WALL	DIAMETER
INCHES	INCHES","WT/FT
POUNDS"
31/2,4.000,"5
10
40
80","40S Std
80s EX. Hvy. XX Hvy.",".083	3.834
.120	3.760
226	3.548
.318	3.364
.636	2.728","3.472
4.973
9.109
12.50
22.85"
4,4.500,"40
80
120
160","IOS
40S Std
80s EX. Hvy.
XX Hvy.",".083	4.334
 to 120	4.260
.237	4.026
.337	3.826
.438	3.624
.531	3.438
.674	3.152","3.915
5.613
10.79
14.98
19.00
22.51
27.54"
41/2,5.00,,"40 Std.
80 Ex. Hvy.
XX Hvy.",".247	4.506
.355	4.290
.710	3.580","12.53
17.61
32.43"
5,5.563,"40
80
120
160","IOS
40S Std
80s EX. Hvy.
XX Hvy.",".109	5.345
.134	5.295
.258	5.047
.375	4.813
.500	4.563
.625	4.31 3
.750	4.063","6.349
7.770
14.62
20.78
27.04
32.96
38.55"
6,6.625,"40
80
120
160","1 os
40S Std.
80S Ex. Hvy.
XX Hvy.",".109	6.407
.134	6.357
.280	6.065
.432	5.761
.562	5.491
.719	5.189
.864	4.897","7.585
9289
18.97
28.57
36.39
45.35
53.16"
