,,,
,,,
Stellite Face,Welded Stellite Face on Metal Ring,350,177
Tung to Car,Solid tungsten Carbide Ring,750,400
Bronze,Solid Leaded Bronze Ring,350,177
Ceremlc,Solid Pure Ceramic Ring,350,177
Carbon,Solid Carbon to Graphic Ring,525,275
Silicon to Carbide,Solid Silicon Carbide Ring,800,427
