Polyesters,"Fiberglass composites, coatings"
"Epoxies
Elastomers","Adhesives, fiberglass composites, coatings"
Butadiene/styrene,"Tires, moldings"
"Isoprene
(natural rubber)","Tires, bearings, gaskets"
Chloroprene,"Structural bearings, fire resistant foam,"
(Neoprene),power transmission belts
Isobutene/lsoprene,Tires
Silicones,"Gaskets, adhesives"
Vinytidene fluoride/,"Seals, O to rings, gloves"
