1050,O,11,4,,
1100,o,13,5,35 (a),23
2014,O,27,14,18(b),45
,,70,60,13(b),135
2024,o,27,11,20 (a),47
,,70,50,18(b),120
4032,,56,46,,120
4043,o,21,10,22 (b),
5052,O,28,13,25 (b),36
6063,o,13,7,,25
