steel—carbon,,,
and low alloy,"450 to 1,000",7.1 to 7.3 x 10 to 4,7.7 to 8.3 x 10 to  to 6
Steel—stainless,"600—1 ,500",6.0 to 9.7 x 10 to 8,6.7 to 10.3 x
Ttanium alloys,"400 to 1 ,ooo",5.0 to 5.4 x,5.5 to 5.6 x 10 to 8
