Auminum alloys	10.0  to  11.2 x 106,0.10
Cobalt alloys	32.6  to  35.0 x 106,0.33
Magnesium alloys	6.4  to  6.5 x 106,0.065
Nickel alloys	28.0  to  31.5 x 108,0.30
and low alloy 30.7 — 31.0 x 106,0.28
Steel to —stainless	28.5  to  31.8 x 106,0.28
Titanium alloys	15.5 to 17.9 x 108,0.16
