Thermoplastics,
Polyethylene,"Clear sheet, bottles"
Polyvinyl chloride,"Floors, fabrics, films"
Polypropylene,"Sheet, pipe, coverings"
Polystyrene,"Containers, foam"
ABSC,"Luggage, telephones"
Acrylicsd (Luciteb),Windows
"Cellulosics
Polyester, thermoplastic type","Fibers, films, coatings, explosives"
"(Dacronb, Mylarb)","Magnetic tape, fibers, films"
Nylons,"Fabrics, rope, gears, machine parts"
Polycarbonates (Lexane),"Machine parts, propellers"
Acetals,"Hardware, gears"
