,,Specified,,,
,,Min Yield,,(E),Allowable Stress Value
,,Strength,,Weld Joint, to 20 F to 250 F ( to 30 C to 120 C)
Specification,Grade,psi (MPa),Notes,Factor,psi (MPa)
