Pressure Psia,"oc
32 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F","20 c 40 C 60 C 80 Cloo C120 CuO C160 C180 C200 C220 C240 C260 C280 C300 C320 C340 C360 C
63 F 104 F 140 F 176 F 212 F 248 F 284 F 320 F 356 F 392 F 428 F 464 F 500 F 536 F 572 F 608 F 644 F 680 F"
"200
400
600
800
1000","3.12
3.11
3.10
3.10
3.09","3.06
3.05
3.05
3.04
3.03","3.06
3.05
3.05
3.04
3.03","3.12
3.11
3.10
3.09
3.09","3.23
3.22
321
3.21
3.20","3.40
3.39
3.39
3.38
3.37","3.66
3.64
3.63
3.62
3.61","4.00
3.99
3.97
3.96
3.95","4.47
4.45
4.44
4.42
4.40","5.11
5.09
5.07
5.04
5.02","6.00
5.97
5.93
5.90
5.87","7.27
7.21
7.15
7.10
7.05","8.95
8.85
8.76","11.6
11.4",16.0,,,,
"1200
1400
1600
1800
2000","3,08
3.07
3.06
3.05
3.04","3.02
3.01
3.00
2.99
2.99","3.02
3.01
3.00
3.00
2.99","3.08
3.07
3.06
3.05
3.04","3.19
3.18
3.17
3.16
3.15","3.36
3.35
3.34
3.33
3.32","3.60
3.59
3.58
3.57
3.56","3.94
3.92
3.91
3.90
3.88","4.39
4.37
4.35
4.34
4.32","5.00
4.98
4.96
4.94
4.91","5.84
5.81
5.78
5.75
5.72","7.00
6.95
6.91
6.87
6.83","8.68
8.61
8.53
8.47
8.40","11.2
11.1
10.9
10.8
10.7","15.4
15.1
14.8
14.6
14.3","23.0
21.9
21.2
20.7","36.9
34.7",,
"2200
2400
2600
2800
3000","3.03
3.02
3.01
3.00
3.00","2.98
2.97
2.96
2.95
2.94","2.98
2.97
2.96
2.96
2.95","3.04
3.03
3.02
3.01
3.00","3.14
3.14
3.13
3.12
3.11","3.31
3.30
3.29
3.28
3.28","3.55
3.54
3.53
3.52
3.51","3.87
3.85
3.85
3.83
3.82","4.31
4.29
4.28
4.26
4.25","4.89
4.87
4.85
4.83
4.81","5.69
5.66
5.63
5.61
5.58","6.78
6.74
6.70
6.66
6.62","8.33
8.26
8.20
8.14
8.08","10.6
10.5
10.4
10.3
10.2","14.1
13.9
13.7
13.5
13.4","20.2
19.8
19.4
19.0
18.6","32.9
31.6
30.5
29.6
28.7","86.4
69.1
61.7
572
53.8","238.2
193.4"
"3200
3400
3600
3800
4000","2.99
2.98
2.97
2.96
2.95","2.94
2.93
2.92
2.91
2.90","2.94
2.93
2.93
2.92
2.91","3.00
2.99
2.98
2.97
2.97","3.10
3.09
3.09
3.08
3.07","3.27
3.26
3.25
3.24
3.23","3.50
3.49
3.48
3.47
3.46","3.81
3.80
3.79
3.78
3.76","4.23
4.22
4.20
4.19
4.17","4.79
4.78
4.76
4.74
4.72","5.55
5.53
5.50
5.47
5.45","6.58
6.54
6.51
6.47
6.43","8.02
7.96
7.90
7.84
7.78","10.1
9.98
9.89
9.79
9.70","13.2
13.0
12.9
12.7
12.5","18.3
17.9
17.6
17.3
17.1","27.9
27.1
26.4
25.8
25.2","51.0
48.6
45.4
44.5
42.8","161.0
138.1
122.4
110.8
101.5"
"4200
4400
4600
4800
5000","2.95
2.94
2.93
2.92
2.91","2.90
2.89
2.83
2.87
2.87","2.90
2.90
2.89
2.88
2.87","2.96
2.95
2.94
2.94
2.93","3.06
3.05
3.05
3.04
3.03","3.22
3.21
3.20
3.20
3.10","3.45
3.44
3.43
3.42
3.41","3.75
3.74
3.73
3.72
3.71","4.16
4.14
4.13
4.12
4.10","4.70
4.68
4.66
4.64
4.63","5.42
5.40
5.37
5.35
5.32","6.40
6.36
6.32
6.29
6.25","7.73
7.68
7.62
7.57
7.52","9.62
9.53
9.44
9.36
9.28","12.4
12.2
12.1
12.0
11.8","16.8
16.5
16.3
16.0
15.8","24.6
24.1
23.6
23.2
22.7","41.3
40.0
38.8
37.6
36.6","93.9
87.6
82.3
77.7
73.9"
